year,artist,streams
2017,AViVA,0.0
2017,AWAY,0.0
2017,AWKWARD i,0.0
2017,AWOLNATION,62733.0
2017,AX 13,637898.0
2017,AXBORN,0.0
2017,AXSHN,0.0
2017,"AXSHN, Sofía Reyes",0.0
2017,AYA,0.0
2017,AYA A.K.A PANDA,0.0
2017,AZ,0.0
2017,"AZ, Raekwon, Prodigy",0.0
2017,AZMA,0.0
2017,AaRON,0.0
2017,Aafke Romeijn,0.0
2017,Aaradhna,0.0
2017,Aarhus Teater,0.0
2017,Aarnikotkat,0.0
2017,Aaron Carpenter,0.0
2017,Aaron Carter,71743983.0
2017,Aaron Espe,0.0
2017,Aaron Flemming,0.0
2017,Aaron Krause,0.0
2017,Aaron Lansing,0.0
2017,Aaron Lee Tasjan,0.0
2017,Aaron Neville,0.0
2017,Aaron Smith,0.0
2017,Aaron Taos,0.0
2017,Aaron Unknown,0.0
2017,"Aarre, Reece Lemonius",0.0
2017,Aash Mehta,0.0
2017,"Aasmund Nordstoga, Sigrid Moldestad, Sver",0.0
2017,"Ab Arel, SiLi",0.0
2017,Ab-Soul,0.0
2017,Abbaz,71306.0
2017,"Abbi Press, Shahly",0.0
2017,"Abbie Cardwell, Twin Tones",0.0
2017,Abby Wolfe,0.0
2017,Abdi,0.0
2017,Abdul & The Coffee Theory,105367.0
2017,Abdul Kay,0.0
2017,Abe,0.0
2017,Abe Kayn,0.0
2017,"Abe Kayn, Vegas Jones",0.0
2017,Abe M Beats,0.0
2017,Abel,0.0
2017,Abel Pintos,9305539.0
2017,"Abel de Jong, Mr. Polska",0.0
2017,"Abel, Joost",0.0
2017,Abelard Giza,0.0
2017,Abelardo Carbonó y su Conjunto,0.0
2017,Aberci,0.0
2017,Aberola,0.0
2017,"Aberola, Mechi Pieretti",0.0
2017,Abi Ocia,0.0
2017,Abin Fang,245839.0
2017,Abirama,0.0
2017,"Abou Debeing, Dadju",260327.0
2017,Abou Tall,0.0
2017,Above & Beyond,0.0
2017,"Above & Beyond, Marty Longstaff",0.0
2017,"Above & Beyond, Richard Bedford",0.0
2017,"Above & Beyond, Zoë Johnston",0.0
2017,"Abra Cadabra, Krept & Konan",139855.0
2017,Abra Taylor,0.0
2017,"Abra, Chito Miranda of Parokya Ni Edgar",488435.0
2017,Abraham Mateo,0.0
2017,"Abraham Mateo, 50 Cent, Austin Mahone",2701231.0
2017,"Abraham Mateo, Farruko, Christian Daniel",145536305.0
2017,Abril Luna,0.0
2017,Abroad,0.0
2017,Absofacto,0.0
2017,Abstract Vision,0.0
2017,"Aburden, Christopher Vernon",0.0
2017,"Acadêmicos Do Tatuapé, Celsinho Mody",0.0
2017,Acaedia,0.0
2017,Acantilados,3152.0
2017,Acapellago,28796.0
2017,Accept,0.0
2017,Accordzêam,0.0
2017,Ace,32823.0
2017,Ace Frehley,0.0
2017,Ace Henderson,0.0
2017,"Ace Hood, Future, Rick Ross",0.0
2017,"Ace Tee, Kwame",0.0
2017,Ace Wilder,2503861.0
2017,Ace of Base,9365.0
2017,"Ace, Chico",0.0
2017,Acel,0.0
2017,Achará,0.0
2017,"Achará, Fiamma Aleotti",0.0
2017,Achey,0.0
2017,Achi Der Entertainer,0.0
2017,"Achille Lauro, Boss Doms",2056291.0
2017,"Achille Lauro, Boss Doms, Gemitaiz",6728816.0
2017,"Achraf, Regimen",0.0
2017,"Achtabahn, Matt Andersen",0.0
2017,"Acid Arab, Cem Yıldız",0.0
2017,"Acid Arab, Sofiane Saidi",0.0
2017,Acid Black Cherry,0.0
2017,Acoustic Hits,0.0
2017,Acreix,0.0
2017,Act As If,0.0
2017,Action Bronson,0.0
2017,Action The Man,0.0
2017,Active Child,0.0
2017,Actress,0.0
2017,Ad en Caroline Siemons,0.0
2017,Ada Band,6837462.0
2017,Ada Zhuang,8072.0
2017,Adam & The Ants,0.0
2017,Adam Abrams,0.0
2017,"Adam Beyer, Dense & Pika",0.0
2017,Adam Christopher,0.0
2017,Adam Counts,0.0
2017,Adam Dahan,0.0
2017,"Adam Davenport, Shanica Knowles",1180.0
2017,Adam Doleac,0.0
2017,Adam Douglas,0.0
2017,Adam Englund,0.0
2017,Adam Foster,0.0
2017,Adam French,0.0
2017,Adam Friedman,0.0
2017,Adam Jensen,0.0
2017,Adam Jones,0.0
2017,"Adam K, Soha",0.0
2017,"Adam Katz, DRTY CHAI",0.0
2017,Adam Knight,0.0
2017,Adam Lambert,3211.0
2017,Adam Levine,3932343.0
